N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,INCUBACAO,COLETA_MAT_Filhotes,OBSERVACAO
63,Leao,ML,29-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
64,Leao,CD,29-Jan-20,38,02:35,11,N38,-3.86976,-32.43697,NA,NA,BR 20516,BR 20517,NA,124.7,109,SIM,#38-29/01/20- BR20516/ BR20517,I,NA,NA,NA,NA,NA,NA,NA,NA,21-Mar-20,21-Mar-20,SU,120,2,11,133,52,NAO,GPS 11 - N 38.
65,Leao,CD,30-Jan-20,39,20:27,11,N39,-3.869847,-32.437234,NA,NA,BR 38657,BR 38683,NA,109.6,102,SIM,#39-30/01/20- BR38657/ BR38683,I,NA,NA,NA,NA,NA,NA,NA,NA,20-Mar-20,21-Mar-20,SU,113,2,5,120,50,NAO,GPS 11 - N39.
66,Leao,CD,30-Jan-20,40,20:30,11,N40,-3.86989,-32.43769,NA,NA,BRA 21618,BR 98337, NA,112.4,103.5,SIM,#40-30/01/20- BR98337/ BRA21618,I,NA,NA,NA,NA,NA,NA,NA,NA,20-Mar-20,20-Mar-20,SU,81,0,17,98,50,NAO,GPS 11 - N40.
67,Leao,ML,30-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 20:25 e 21:40.
68,Leao,CD,31-Jan-20,41,20:32,11,N41,-3.87003,-32.43764,NA,NA,BRA 21620,BRA 21622,NA,103.7,98.1,SIM,#41-31/01/20-BRA 21620/ BRA 21622,I,NA,NA,NA,NA,NA,NA,NA,NA,20-Mar-20,20-Mar-20,SU,71,0,1,72,49,NAO,GPS 11 - N 41.
69,Leao,CD,1-Feb-20,42,21:15,10,N42 (I) e N42P (P),-3.8699,-32.43863,BRA 21629,BRA 21630,NA,NA,NA,106.1,96.6,SIM,#42-01/02/20-BRA21629/ BRA21630,P,NA,NA,NA,A,112,0,-3.87008,-32.43808,23-Mar-20,24-Mar-20,SU,93,14,5,112,51,SIM - 32 filhotes,"GPS10 - N42 e N42P. Cicatriz de marca; Ninho transferido por risco de inundacao do rio; queloide na nadadeira esquerda; estas marcas foram perdidas no futuro sendo substituidas por BRA 21645, BRA 61684."
70,Leao,ML,2-Feb-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes das 20:30.
71,Leao,SD,2-Feb-20,NA,22:05,NA,NA,NA,NA,NA,NA,BRA 21632,BRA 21641,NA,104.5,98,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
72,Leao,CD,2-Feb-20,43,23:42,10,N43,-3.87004,-32.43788,BRA 21649,BRA 21650,NA,NA,NA,105.1,91,SIM,#43-02/02/20-BRA21649/ BRA21650,I,NA,NA,NA,NA,NA,NA,NA,NA,23-Mar-20,24-Mar-20,SU,57,0,15,72,50,SIM - 32 filhotes,GPS10 - N43. Cicatriz na carapaça. 1 ovo anômalo.
73,Leao,ML,2-Feb-20,NA,02:00,NA,NA,NA,NA,NA,NA,BRA 21632,BRA 21641,NA,104.5,98,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
